0 9 0 0 | 10 0 6 13 | 15 11 0 0 | 0 0 0 0
0 0 0 12 | 14 9 1 0 | 0 0 0 0 | 11 3 0 8
0 0 6 15 | 0 11 0 0 | 7 0 9 0 | 0 4 14 0
16 0 2 7 | 0 0 0 4 | 3 5 0 14 | 9 6 0 0
---------|----------|---------|---------
0 0 13 0 | 0 14 11 0 | 12 0 3 0 | 0 0 10 16
0 5 0 4 | 16 0 13 0 | 6 0 14 0 | 0 8 2 0
14 15 0 16 | 2 0 0 0 | 0 0 5 0 | 12 0 0 11
0 0 9 0 | 0 0 12 0 | 0 8 2 7 | 0 5 0 14
---------|----------|---------|---------
12 0 11 0 | 8 7 3 0 | 0 9 0 0 | 0 10 0 0
7 0 0 2 | 0 12 0 0 | 0 0 0 3 | 14 0 9 15
0 6 8 0 | 0 15 0 11 | 0 7 0 5 | 4 0 16 0
4 3 0 0 | 0 16 0 14 | 0 2 1 0 | 0 7 0 0
---------|----------|---------|---------
0 0 10 9 | 7 0 8 15 | 1 0 0 0 | 3 13 0 12
0 2 7 0 | 0 13 0 16 | 0 0 11 0 | 5 14 0 0
3 0 16 6 | 0 0 0 0 | 0 13 7 8 | 15 0 0 0
0 0 0 0 | 0 0 4 2 | 9 14 0 6 | 0 0 11 0
