00 00 00 00 | 00 05 00 00 | 11 09 15 14 | 00 00 07 03
03 07 14 05 | 01 00 00 00 | 00 00 02 00 | 00 00 00 00
00 00 01 11 | 03 00 00 00 | 00 00 05 00 | 00 10 00 13
00 00 00 15 | 00 10 07 00 | 01 00 00 00 | 08 06 00 16
------------|-------------|-------------|-------------
09 12 00 00 | 00 00 14 00 | 05 07 00 00 | 00 00 00 11
00 11 00 06 | 00 00 00 00 | 00 00 08 00 | 00 00 00 00
13 16 00 03 | 10 00 00 08 | 15 00 14 00 | 02 00 00 00
01 00 00 07 | 00 00 00 00 | 00 00 00 02 | 00 00 08 10
------------|-------------|-------------|-------------
00 03 00 12 | 08 06 00 00 | 00 00 00 13 | 04 05 00 00
00 00 04 00 | 00 01 00 00 | 00 03 00 00 | 00 00 00 00
14 10 13 00 | 00 00 05 09 | 00 00 00 04 | 00 00 00 07
00 08 09 00 | 13 04 00 10 | 16 00 06 00 | 00 15 14 01
------------|-------------|-------------|-------------
08 00 00 00 | 16 00 09 01 | 04 05 00 00 | 00 00 00 00
00 00 11 00 | 12 02 00 00 | 06 00 00 08 | 15 00 00 00
00 06 00 00 | 11 07 03 13 | 14 00 00 01 | 12 00 00 00
12 00 00 00 | 00 00 00 04 | 00 11 09 00 | 00 00 01 00
